epoch;accuracy;loss;lr;val_accuracy;val_loss
0;0.66578335;1.0274579414884248;0.01;0.9350000023841858;0.2153277438491583
1;0.93076664;0.2225327913035949;0.01;0.965399980545044;0.11064554618820548
2;0.9537333;0.14901602941503128;0.01;0.9746000170707703;0.08187814977969975
3;0.96405;0.11721905541606248;0.01;0.9765999913215637;0.07092069010101258
4;0.97;0.0973770599257201;0.01;0.9824000000953674;0.05807148061641492
5;0.97401667;0.08440074467137455;0.01;0.984000027179718;0.05195934894713573
6;0.9770333;0.07380491729403535;0.01;0.9860000014305115;0.04625028780186549
7;0.9793;0.06695806678651521;0.01;0.9857000112533569;0.04472960118995979
8;0.98036665;0.06260452017734448;0.01;0.9866999983787537;0.04202439999787603
9;0.98221666;0.05728594717498248;0.01;0.987500011920929;0.040966407529858404
10;0.9835;0.05252434149328619;0.01;0.9896000027656555;0.03719377360371873
11;0.9845333;0.04944738681372255;0.01;0.9896000027656555;0.03595900681163766
12;0.98538333;0.04671353086841603;0.01;0.9878000020980835;0.040660310059803306
13;0.9863667;0.043751777227316054;0.01;0.9900000095367432;0.03281294920116779
14;0.98705;0.04075761498136756;0.01;0.9897000193595886;0.035360991904494585
15;0.98775;0.040004032348934564;0.01;0.9907000064849854;0.03089737969186972
16;0.98885;0.03753397684438775;0.01;0.9901999831199646;0.03239996024370193
17;0.98915;0.03511119361049496;0.01;0.9915000200271606;0.03173245432960684
18;0.98975;0.032800980155565776;0.01;0.9907000064849854;0.031929972658044425
19;0.98945;0.033060497981053774;0.01;0.9905999898910522;0.029413490702479613
20;0.9903;0.03105039338973972;0.01;0.9905999898910522;0.03133680072388961
21;0.99053335;0.029565342349791898;0.01;0.9915000200271606;0.029822586527993553
22;0.9913833;0.027571851075106922;0.01;0.9914000034332275;0.029477120425915927
23;0.99113333;0.02872360366099359;0.01;0.991599977016449;0.02934970546944678
24;0.992;0.02574523672563567;0.01;0.9919000267982483;0.028643451339122838
25;0.99238336;0.024967578182039627;0.01;0.9916999936103821;0.02775906079786073
26;0.99238336;0.02393155672920014;0.01;0.991599977016449;0.02848053146528473
27;0.9920667;0.02356023643653413;0.01;0.9921000003814697;0.02826991300885711
28;0.99293333;0.022236604766190673;0.01;0.9919999837875366;0.028447995075161454
29;0.9928833;0.021335904427982555;0.01;0.9916999936103821;0.029003762472743982
30;0.99338335;0.01992957935903687;0.01;0.9922000169754028;0.027721417513380583
31;0.9938667;0.01951852360185585;0.01;0.9918000102043152;0.02865057221136085
32;0.9938833;0.019397722928614046;0.01;0.991599977016449;0.027742670038093636
33;0.9942333;0.018576598723448114;0.01;0.9922999739646912;0.026565123985131504
34;0.99441665;0.017699498606090977;0.01;0.9919999837875366;0.027030810041856604
35;0.99395;0.018065107969898964;0.01;0.9922000169754028;0.026877260532201762
36;0.99453336;0.016963869077105;0.01;0.9927999973297119;0.025997206956206356
37;0.99465;0.01704982046196237;0.01;0.9919000267982483;0.029153543963449192
38;0.9947;0.01606702767382182;0.01;0.9926000237464905;0.02683940303057243
39;0.99471664;0.016143851488200987;0.01;0.9925000071525574;0.028102078566966157
40;0.99558336;0.013994954705934894;0.01;0.9922999739646912;0.027194466211568943
41;0.9952833;0.014426296167258988;0.01;0.9922999739646912;0.02662862939026509
42;0.9953167;0.01471961471857115;0.01;0.991599977016449;0.02869808169673779
43;0.9952667;0.01433564380154227;0.01;0.9927999973297119;0.026118317539389316
44;0.9956;0.013163021960256932;0.01;0.992900013923645;0.026691927763665444
45;0.9959;0.01282444543123905;0.01;0.9922999739646912;0.027673361000155272
46;0.9962;0.011734532551439286;0.01;0.9919000267982483;0.029481736925622865
47;0.99611664;0.01203675928695205;0.01;0.9926000237464905;0.026151112677194943
48;0.9962;0.012078856196645454;0.01;0.9932000041007996;0.02601277712418996
49;0.9964167;0.011284076137823286;0.01;0.9916999936103821;0.02845705730410773
50;0.9963167;0.011759817464092824;0.01;0.9923999905586243;0.02668943376547486
51;0.99658334;0.010880823353571274;0.01;0.9926000237464905;0.026652522847204454
52;0.99701667;0.009625786895938897;0.01;0.9918000102043152;0.02698990687253645
53;0.99651664;0.010641645591544025;0.01;0.991599977016449;0.028060963179713874
54;0.9964333;0.010415898797807556;0.01;0.9926000237464905;0.029189701618125584
55;0.9970833;0.00912544835768834;0.01;0.9923999905586243;0.027419729061219915
56;0.99686664;0.010140467849176882;0.01;0.9921000003814697;0.028980542778723067
57;0.99663335;0.010331392939664268;0.01;0.9927999973297119;0.02674418332149162
58;0.9971333;0.009102413968443095;0.01;0.9926999807357788;0.02828520843760798
